in,out
2432,1
4352,1
1824,1
3152,1
8160,1
6016,1
7360,1
2016,1
688,1
6928,1
128,1
2880,1
7008,1
752,1
3488,1
5968,1
32,1
8080,1
5792,1
7680,1
5824,1
2576,1
5904,1
6688,1
1088,1
2032,1
4048,1
480,1
6384,1
1600,1
1872,1
2784,1
2416,1
2368,1
5392,1
6816,1
6128,1
2032,1
6464,1
96,1
2592,1
7648,1
6384,1
1872,1
4528,1
1760,1
7952,1
2000,1
80,1
4128,1
1152,1
5952,1
2992,1
1744,1
6416,1
6768,1
2944,1
1200,1
6064,1
2336,1
6432,1
3056,1
1248,1
3392,1
4128,1
6944,1
1920,1
7904,1
1344,1
2672,1
5056,1
8160,1
5136,1
1792,1
400,1
8048,1
48,1
7696,1
7920,1
2480,1
6560,1
2704,1
784,1
2624,1
7104,1
5936,1
4512,1
2048,1
7936,1
4048,1
336,1
4880,1
5488,1
7536,1
6736,1
6896,1
3616,1
5616,1
1808,1
2512,1
2336,1
3824,1
3120,1
2512,1
4752,1
3344,1
3920,1
6112,1
80,1
6784,1
7760,1
7600,1
3792,1
2544,1
3824,1
240,1
6336,1
5760,1
736,1
608,1
5536,1
5792,1
1552,1
3040,1
4080,1
1456,1
7472,1
4752,1
