in,out
112,1
4848,1
688,1
3520,1
3264,1
5936,1
5168,1
5280,1
4608,1
1008,1
5232,1
6464,1
3264,1
1712,1
7184,1
3104,1
1152,1
3280,1
1776,1
6240,1
1728,1
1808,1
5472,1
2992,1
1968,1
2112,1
3456,1
1760,1
7312,1
7248,1
1904,1
1728,1
5456,1
48,1
7440,1
1808,1
112,1
2016,1
5664,1
4752,1
7664,1
2112,1
6176,1
8016,1
1264,1
3616,1
7968,1
5296,1
2640,1
5792,1
48,1
7024,1
4944,1
4160,1
4960,1
6400,1
112,1
5840,1
4832,1
416,1
5808,1
1776,1
4432,1
6992,1
6688,1
1264,1
7488,1
1808,1
5024,1
3360,1
4064,1
5312,1
3872,1
5312,1
6320,1
3984,1
3776,1
8144,1
4608,1
1856,1
5856,1
352,1
8144,1
6592,1
7456,1
4032,1
5184,1
6816,1
6752,1
4912,1
5936,1
2048,1
1296,1
3088,1
3952,1
2304,1
1792,1
3520,1
3168,1
7616,1
5504,1
240,1
7888,1
4672,1
7232,1
368,1
1824,1
5536,1
256,1
6784,1
1840,1
2736,1
2224,1
4848,1
8000,1
7776,1
752,1
2736,1
6320,1
7872,1
3280,1
5200,1
176,1
1232,1
4128,1
2288,1
784,1
5840,1
