in,out
240,1
576,1
3648,1
5360,1
7024,1
6192,1
7776,1
7088,1
1680,1
5696,1
5072,1
2800,1
6064,1
4416,1
1872,1
3520,1
5968,1
512,1
6848,1
6560,1
480,1
6320,1
3088,1
7664,1
7616,1
6736,1
7008,1
7424,1
6080,1
2832,1
2304,1
4576,1
1696,1
3360,1
6544,1
4672,1
7568,1
5472,1
5728,1
1264,1
7536,1
1984,1
2016,1
2384,1
768,1
6240,1
4592,1
6064,1
2224,1
4624,1
4672,1
7632,1
5168,1
1200,1
5696,1
1456,1
3536,1
2896,1
6800,1
656,1
4064,1
3696,1
6768,1
2176,1
7568,1
6960,1
4176,1
1760,1
7568,1
3056,1
2768,1
7216,1
608,1
1024,1
6288,1
592,1
4176,1
240,1
4320,1
7168,1
3168,1
6592,1
6288,1
5552,1
2976,1
3312,1
7184,1
3104,1
3248,1
3504,1
2016,1
64,1
5584,1
7568,1
1008,1
3888,1
3584,1
1920,1
6592,1
7824,1
7040,1
7424,1
3488,1
6992,1
7168,1
5120,1
4864,1
7584,1
1632,1
6096,1
3568,1
3536,1
592,1
4688,1
6272,1
2464,1
2640,1
2112,1
4080,1
5872,1
4736,1
5088,1
4080,1
2304,1
320,1
7200,1
7904,1
4336,1
