in,out
2192,1
4112,1
5200,1
5200,1
3616,1
448,1
7760,1
6192,1
3200,1
6480,1
3936,1
3296,1
6368,1
1520,1
3344,1
4496,1
624,1
8144,1
624,1
4976,1
6928,1
4784,1
2912,1
432,1
5776,1
2720,1
3472,1
144,1
3840,1
1136,1
2288,1
3680,1
6288,1
4128,1
5792,1
2496,1
6368,1
272,1
7904,1
6144,1
1024,1
2240,1
3760,1
2768,1
2320,1
6912,1
2896,1
3040,1
3408,1
5904,1
768,1
7248,1
4544,1
3040,1
2688,1
1888,1
1952,1
3232,1
512,1
976,1
6880,1
4720,1
5712,1
3872,1
7888,1
4736,1
4544,1
3760,1
2672,1
4480,1
7856,1
1568,1
6928,1
5616,1
5952,1
4416,1
2576,1
2704,1
7232,1
5184,1
7264,1
5232,1
5504,1
7216,1
1312,1
7888,1
304,1
1440,1
2112,1
1520,1
6928,1
6720,1
5056,1
1296,1
6704,1
6128,1
6144,1
944,1
1504,1
4704,1
176,1
4768,1
2992,1
8080,1
80,1
4944,1
5200,1
4672,1
4528,1
4000,1
752,1
7440,1
2032,1
2304,1
3584,1
1392,1
6944,1
3536,1
1456,1
4528,1
496,1
7168,1
4096,1
7872,1
6176,1
2448,1
1408,1
416,1
