in,out
5856,1
4496,1
1456,1
6096,1
1472,1
3088,1
7056,1
624,1
3392,1
1408,1
4032,1
3552,1
1424,1
7168,1
6768,1
7792,1
5632,1
1504,1
7856,1
3968,1
6992,1
7072,1
1104,1
1040,1
1744,1
4976,1
5456,1
7808,1
5760,1
3376,1
6528,1
3712,1
2992,1
6496,1
2880,1
8000,1
4112,1
1152,1
1936,1
3696,1
7744,1
1184,1
5616,1
2448,1
6544,1
880,1
4048,1
4048,1
3904,1
1040,1
6032,1
1088,1
7680,1
1344,1
80,1
416,1
6608,1
5440,1
2544,1
7440,1
1008,1
1856,1
1184,1
7792,1
4272,1
5744,1
6304,1
3056,1
1408,1
208,1
1712,1
528,1
1424,1
5952,1
4576,1
1056,1
2560,1
6096,1
3984,1
4880,1
752,1
1568,1
3600,1
8080,1
2880,1
6880,1
4768,1
2496,1
5392,1
2944,1
5152,1
2928,1
6784,1
6880,1
7760,1
4752,1
7184,1
2336,1
1584,1
3856,1
4000,1
4784,1
2960,1
704,1
1440,1
1824,1
2880,1
2384,1
4704,1
1440,1
2640,1
2864,1
3792,1
1792,1
7616,1
5408,1
6080,1
2704,1
3504,1
5696,1
3920,1
2400,1
2064,1
2464,1
5424,1
4208,1
5408,1
176,1
