in,out
1520,1
544,1
4208,1
2752,1
1392,1
5472,1
5856,1
1200,1
4768,1
7040,1
2608,1
1920,1
2656,1
5104,1
2032,1
1952,1
4704,1
1520,1
3984,1
4192,1
5952,1
6688,1
5248,1
6208,1
6080,1
2720,1
6496,1
1632,1
3184,1
2224,1
6672,1
3056,1
7872,1
3824,1
1072,1
304,1
7488,1
576,1
1008,1
5200,1
6032,1
4608,1
7984,1
880,1
2992,1
128,1
4288,1
832,1
6176,1
1168,1
1936,1
5504,1
384,1
7760,1
6432,1
7680,1
3824,1
1040,1
5120,1
6128,1
1600,1
2896,1
3904,1
4480,1
3776,1
5440,1
2048,1
7232,1
5792,1
896,1
1872,1
6848,1
7888,1
1088,1
3696,1
2624,1
4080,1
3616,1
2352,1
5792,1
5552,1
7680,1
1728,1
4768,1
1920,1
3568,1
3392,1
1056,1
4016,1
4144,1
7168,1
5344,1
5728,1
5792,1
2016,1
4096,1
3936,1
3296,1
6864,1
5328,1
5328,1
6784,1
2880,1
7248,1
3600,1
4080,1
4400,1
6256,1
2480,1
3792,1
4272,1
3088,1
5264,1
4928,1
6672,1
1616,1
7920,1
6160,1
416,1
464,1
4720,1
3136,1
5328,1
912,1
3664,1
6496,1
1488,1
6560,1
