in,out
8096,1
2192,1
1088,1
6448,1
7504,1
7632,1
3472,1
6704,1
3664,1
2576,1
5664,1
880,1
5200,1
3040,1
3280,1
3536,1
3424,1
6528,1
3520,1
5696,1
4576,1
4608,1
4720,1
6304,1
1744,1
2368,1
3712,1
4272,1
6656,1
4864,1
1488,1
1744,1
608,1
3264,1
4352,1
7280,1
5792,1
2336,1
7264,1
5712,1
1152,1
6464,1
96,1
2368,1
1248,1
6624,1
2432,1
4560,1
6272,1
3456,1
2816,1
6592,1
6384,1
2112,1
3568,1
4336,1
6128,1
2240,1
4720,1
256,1
8032,1
272,1
3632,1
480,1
3488,1
2384,1
5440,1
4736,1
4144,1
4016,1
5232,1
5488,1
7072,1
7008,1
3536,1
3488,1
3792,1
4960,1
5616,1
6800,1
5424,1
2960,1
4784,1
5824,1
3120,1
1088,1
6624,1
5440,1
6688,1
1024,1
3760,1
832,1
5520,1
3072,1
1248,1
48,1
2048,1
6000,1
5760,1
1904,1
1392,1
1008,1
2736,1
6464,1
6368,1
848,1
3648,1
336,1
6608,1
2080,1
1584,1
1312,1
592,1
2400,1
6864,1
8144,1
7584,1
4352,1
5696,1
5984,1
4128,1
3520,1
1168,1
3344,1
4112,1
6224,1
3872,1
3792,1
