in,out
7264,1
1216,1
5264,1
6896,1
4080,1
5024,1
3504,1
6592,1
7696,1
4992,1
3328,1
5200,1
7632,1
944,1
3600,1
3344,1
2368,1
3792,1
912,1
4864,1
5296,1
6128,1
4016,1
6656,1
672,1
4192,1
1312,1
144,1
2256,1
5360,1
4352,1
3216,1
5856,1
2608,1
352,1
4880,1
4752,1
416,1
7696,1
5648,1
5664,1
3296,1
1376,1
7392,1
4752,1
3136,1
6400,1
2912,1
6032,1
7328,1
5856,1
4048,1
1104,1
7152,1
3936,1
4736,1
7856,1
5232,1
7392,1
7312,1
1216,1
6800,1
3120,1
3664,1
192,1
4192,1
4544,1
1984,1
3616,1
5760,1
3008,1
2160,1
7984,1
3184,1
7952,1
5376,1
6688,1
6944,1
1632,1
2096,1
7504,1
6240,1
832,1
2592,1
1488,1
640,1
1232,1
1632,1
7808,1
3360,1
4496,1
8080,1
7120,1
2352,1
3824,1
4032,1
2432,1
3056,1
112,1
6160,1
1776,1
3776,1
3632,1
3408,1
2640,1
448,1
5728,1
1616,1
6432,1
1568,1
3168,1
1088,1
6800,1
5232,1
2992,1
1792,1
3632,1
3216,1
6384,1
7760,1
6384,1
3408,1
16,1
7984,1
7728,1
6928,1
2176,1
2240,1
