in,out
2128,1
6320,1
1744,1
2832,1
7168,1
3680,1
6288,1
2576,1
3584,1
2416,1
1664,1
7296,1
1792,1
7840,1
6736,1
4832,1
6784,1
480,1
6272,1
1488,1
4752,1
6656,1
6832,1
8080,1
4528,1
3584,1
3024,1
1968,1
1184,1
5392,1
6896,1
1952,1
3632,1
6352,1
1664,1
7440,1
3280,1
2512,1
3168,1
3424,1
2848,1
7680,1
1824,1
5632,1
624,1
3264,1
7024,1
5344,1
3520,1
3808,1
3328,1
5936,1
3360,1
2880,1
2240,1
1648,1
320,1
3648,1
3872,1
464,1
4304,1
5424,1
3024,1
2560,1
5552,1
2336,1
2336,1
4608,1
1824,1
2736,1
6272,1
8128,1
2784,1
5872,1
7424,1
6256,1
1040,1
6592,1
7488,1
3936,1
7952,1
1136,1
3568,1
256,1
1920,1
1376,1
1904,1
3536,1
800,1
5216,1
4160,1
288,1
4528,1
5408,1
2128,1
4336,1
6768,1
1472,1
5424,1
7584,1
4576,1
2560,1
6016,1
5040,1
512,1
16,1
5664,1
7664,1
4512,1
5712,1
1824,1
6288,1
6592,1
6704,1
832,1
8016,1
2224,1
7920,1
5808,1
128,1
4800,1
6864,1
1328,1
6928,1
960,1
864,1
1232,1
1920,1
