in,out
6048,1
1968,1
2144,1
8080,1
8144,1
1280,1
6560,1
1680,1
8160,1
7792,1
1472,1
4800,1
6368,1
4144,1
3344,1
8064,1
7120,1
5568,1
4288,1
4400,1
5728,1
992,1
4416,1
2016,1
3904,1
1104,1
7872,1
2368,1
2288,1
2176,1
4352,1
640,1
7216,1
128,1
7232,1
2864,1
6416,1
2848,1
960,1
4944,1
784,1
192,1
7936,1
3504,1
240,1
5504,1
1024,1
1680,1
5104,1
2208,1
3472,1
6240,1
1664,1
1456,1
4112,1
7648,1
1648,1
4240,1
7744,1
8016,1
5712,1
7904,1
5632,1
7616,1
1584,1
4720,1
5728,1
5440,1
256,1
7424,1
672,1
2896,1
880,1
8112,1
1280,1
3712,1
4016,1
1872,1
3504,1
7536,1
2176,1
896,1
3856,1
656,1
3104,1
4192,1
6160,1
624,1
1008,1
2864,1
272,1
2176,1
2736,1
1152,1
1408,1
6848,1
2816,1
7296,1
5472,1
880,1
688,1
3616,1
6080,1
3088,1
4992,1
5728,1
4144,1
2304,1
6560,1
384,1
7664,1
6688,1
6096,1
960,1
7872,1
2144,1
4768,1
3712,1
4160,1
4576,1
7904,1
7904,1
944,1
7168,1
5488,1
5312,1
672,1
5200,1
