in,out
4544,1
6256,1
3024,1
848,1
1984,1
1424,1
2448,1
4736,1
2176,1
336,1
1344,1
7872,1
1552,1
2416,1
1040,1
48,1
6224,1
1168,1
4512,1
6448,1
8032,1
4688,1
1952,1
3024,1
5312,1
3120,1
1760,1
7440,1
208,1
2480,1
3056,1
1920,1
2752,1
7568,1
3984,1
400,1
3856,1
4560,1
4416,1
6160,1
7072,1
576,1
2224,1
4352,1
3760,1
7040,1
6080,1
6560,1
6256,1
1920,1
4128,1
944,1
7440,1
1936,1
6464,1
2272,1
7808,1
4496,1
2880,1
960,1
4752,1
4000,1
2784,1
3216,1
112,1
7616,1
448,1
5456,1
7456,1
3536,1
5968,1
6464,1
1936,1
7600,1
1600,1
7232,1
5376,1
7280,1
3520,1
256,1
272,1
5200,1
7840,1
928,1
5808,1
5888,1
7216,1
864,1
640,1
1856,1
2128,1
7728,1
2800,1
4032,1
5232,1
1888,1
1248,1
2624,1
6704,1
6368,1
2272,1
3936,1
688,1
1792,1
5040,1
688,1
7648,1
864,1
1584,1
5824,1
8064,1
3776,1
6352,1
624,1
5664,1
2400,1
1536,1
336,1
3440,1
5456,1
2016,1
3136,1
3120,1
2816,1
2272,1
4976,1
5088,1
6256,1
