in,out
6240,1
768,1
7024,1
4528,1
6368,1
5872,1
5584,1
688,1
7840,1
3488,1
320,1
3872,1
3680,1
3712,1
3440,1
2432,1
4576,1
8064,1
5936,1
1280,1
752,1
2480,1
7520,1
2352,1
3088,1
1424,1
4832,1
2400,1
4800,1
3152,1
944,1
4736,1
1536,1
7376,1
8112,1
6336,1
320,1
1120,1
1584,1
3392,1
784,1
6992,1
4912,1
6912,1
3968,1
6368,1
1520,1
8128,1
7648,1
240,1
4960,1
5888,1
2880,1
6080,1
7008,1
944,1
3088,1
6176,1
624,1
3776,1
5936,1
3680,1
7296,1
2672,1
2736,1
7408,1
5568,1
6672,1
4896,1
4272,1
8096,1
5696,1
1888,1
4448,1
7584,1
1856,1
5808,1
7152,1
7648,1
3136,1
1024,1
2464,1
2464,1
5120,1
5664,1
832,1
7472,1
7008,1
1216,1
1056,1
640,1
4512,1
1856,1
2432,1
5168,1
4976,1
688,1
3488,1
3920,1
3776,1
3424,1
7984,1
5488,1
928,1
4784,1
7664,1
288,1
7904,1
1824,1
3808,1
7088,1
4512,1
7584,1
3088,1
3504,1
592,1
4928,1
2544,1
7488,1
1536,1
1376,1
5072,1
2240,1
3664,1
592,1
5328,1
2832,1
2352,1
