in,out
2624,1
4128,1
3552,1
8048,1
832,1
7248,1
5552,1
6592,1
6800,1
6544,1
5904,1
3680,1
7280,1
6240,1
1664,1
2928,1
1696,1
1344,1
4800,1
4544,1
2224,1
1552,1
5424,1
5424,1
3040,1
6336,1
4432,1
4064,1
7728,1
3552,1
2912,1
1296,1
7968,1
192,1
608,1
6704,1
3040,1
1136,1
784,1
4400,1
7600,1
6224,1
7056,1
1104,1
6256,1
1536,1
6992,1
688,1
4784,1
5744,1
416,1
640,1
5552,1
5600,1
3296,1
224,1
4800,1
7440,1
816,1
3184,1
6960,1
5440,1
7712,1
7008,1
5136,1
6720,1
2784,1
3776,1
2496,1
1712,1
544,1
4880,1
3936,1
5584,1
4528,1
6640,1
7008,1
4896,1
6112,1
64,1
3856,1
80,1
416,1
4656,1
7712,1
7968,1
4032,1
368,1
1808,1
4688,1
448,1
2176,1
2832,1
1184,1
2528,1
2784,1
3536,1
2736,1
6400,1
7520,1
1328,1
3952,1
3312,1
7536,1
5424,1
3952,1
2528,1
2736,1
5728,1
6208,1
4496,1
4592,1
2128,1
5760,1
7536,1
5712,1
1904,1
7680,1
3488,1
192,1
4720,1
2480,1
2976,1
8016,1
5536,1
528,1
5680,1
4384,1
