in,out
7072,1
7600,1
128,1
5760,1
7952,1
1008,1
7024,1
2032,1
3968,1
5936,1
4496,1
2032,1
3296,1
7152,1
160,1
3152,1
6160,1
5120,1
1056,1
4496,1
6448,1
816,1
896,1
8000,1
3664,1
3280,1
7920,1
2176,1
144,1
2832,1
6080,1
1296,1
3280,1
272,1
2144,1
3968,1
7696,1
5648,1
2048,1
7792,1
1200,1
4848,1
7904,1
6672,1
992,1
3136,1
7552,1
4864,1
112,1
1104,1
4176,1
6832,1
7328,1
240,1
2816,1
3488,1
6128,1
5344,1
4464,1
7120,1
2432,1
3408,1
2160,1
4224,1
7888,1
2944,1
7376,1
3488,1
3072,1
7024,1
7936,1
5552,1
7136,1
2416,1
1216,1
6000,1
8096,1
7136,1
6240,1
1344,1
4752,1
3504,1
6080,1
6768,1
5456,1
784,1
6016,1
5328,1
2224,1
4080,1
2608,1
2576,1
1600,1
2224,1
7392,1
6928,1
192,1
5840,1
7408,1
5728,1
5696,1
1696,1
1584,1
3616,1
3808,1
5584,1
6640,1
512,1
7856,1
4544,1
7632,1
5568,1
768,1
3648,1
5472,1
5088,1
7552,1
4416,1
2960,1
7664,1
1264,1
7552,1
816,1
480,1
4448,1
3472,1
5584,1
2336,1
