in,out
5296,1
352,1
3904,1
5968,1
5392,1
896,1
7376,1
3520,1
1440,1
6560,1
2672,1
4064,1
64,1
6448,1
1760,1
6640,1
6720,1
4576,1
4512,1
1936,1
3392,1
4736,1
4032,1
7440,1
8160,1
5984,1
2640,1
7824,1
384,1
1984,1
7040,1
1216,1
2272,1
2176,1
1664,1
8080,1
928,1
960,1
7504,1
7440,1
7664,1
784,1
2256,1
6240,1
656,1
7872,1
2720,1
6464,1
5520,1
5264,1
7120,1
3168,1
2496,1
6448,1
1920,1
6736,1
7408,1
4560,1
5072,1
6576,1
3808,1
2368,1
2368,1
2080,1
1776,1
7968,1
5440,1
5504,1
1008,1
3024,1
1856,1
2832,1
2752,1
1632,1
4880,1
1600,1
8144,1
6208,1
3248,1
4848,1
144,1
5680,1
7568,1
8016,1
2096,1
7072,1
6032,1
6864,1
3392,1
2352,1
7664,1
4624,1
2384,1
3136,1
6736,1
464,1
6608,1
3808,1
2864,1
5376,1
4304,1
1504,1
6896,1
5904,1
6368,1
528,1
5936,1
5760,1
7552,1
1024,1
6448,1
7104,1
6016,1
5472,1
5008,1
6080,1
4480,1
6304,1
4848,1
6448,1
7120,1
4400,1
2464,1
256,1
6960,1
2512,1
6544,1
3920,1
