in,out
5360,1
3008,1
352,1
656,1
256,1
6992,1
2336,1
1456,1
2496,1
5744,1
320,1
1792,1
480,1
3056,1
3040,1
5984,1
656,1
7744,1
2208,1
992,1
2720,1
1200,1
2640,1
192,1
1136,1
3168,1
5120,1
4912,1
5568,1
144,1
1888,1
4528,1
3968,1
7888,1
3312,1
3120,1
400,1
3872,1
1056,1
5488,1
6560,1
3264,1
1952,1
6784,1
5776,1
544,1
6272,1
6416,1
7728,1
1440,1
608,1
2320,1
4016,1
7584,1
7968,1
5184,1
144,1
2224,1
2416,1
6032,1
3504,1
4848,1
1200,1
1008,1
7488,1
3888,1
7984,1
3168,1
4832,1
1856,1
7280,1
2208,1
1280,1
1424,1
5696,1
6928,1
7936,1
1152,1
6624,1
6976,1
7136,1
4928,1
3456,1
6304,1
7856,1
4640,1
3920,1
5904,1
4544,1
272,1
192,1
784,1
3440,1
6480,1
7936,1
4144,1
4928,1
1584,1
5424,1
1088,1
368,1
288,1
992,1
6864,1
96,1
1312,1
32,1
4944,1
1280,1
1776,1
6416,1
576,1
4336,1
5520,1
5120,1
6656,1
672,1
7296,1
6208,1
4704,1
4784,1
5472,1
4784,1
3760,1
3776,1
912,1
7424,1
1264,1
