in,out
7744,1
2176,1
1568,1
3264,1
448,1
3808,1
2224,1
5264,1
4032,1
2656,1
7136,1
528,1
6240,1
4000,1
1200,1
2640,1
4512,1
4928,1
1760,1
6416,1
832,1
3552,1
3568,1
3888,1
7456,1
7984,1
5648,1
3600,1
3552,1
4752,1
2192,1
3408,1
7168,1
4768,1
1488,1
1344,1
4144,1
4688,1
5648,1
6480,1
7984,1
336,1
4880,1
976,1
6320,1
2816,1
1504,1
4080,1
5600,1
7264,1
3712,1
8144,1
560,1
4000,1
5536,1
7872,1
2432,1
4432,1
2000,1
6848,1
3264,1
5856,1
5968,1
1152,1
800,1
7840,1
4816,1
7072,1
4976,1
2576,1
1056,1
4080,1
3536,1
6304,1
3440,1
736,1
2096,1
1312,1
8080,1
6448,1
7648,1
4112,1
2592,1
1488,1
2368,1
2656,1
4016,1
7872,1
416,1
4672,1
1200,1
3632,1
7280,1
7584,1
6000,1
2512,1
3392,1
6720,1
3584,1
368,1
4368,1
7472,1
6960,1
4048,1
5824,1
1792,1
6992,1
4528,1
976,1
3568,1
6816,1
7072,1
2672,1
7632,1
5152,1
5552,1
2896,1
6144,1
4160,1
6048,1
2928,1
4320,1
6720,1
5600,1
8080,1
5408,1
4848,1
7136,1
