in,out
7040,1
4816,1
1360,1
2016,1
5776,1
5520,1
2976,1
4960,1
3136,1
8048,1
7200,1
368,1
640,1
2784,1
3632,1
2032,1
1888,1
5088,1
1296,1
5824,1
7536,1
2400,1
1472,1
4320,1
4864,1
2016,1
384,1
5456,1
3856,1
80,1
3392,1
6448,1
7440,1
1456,1
7904,1
5856,1
4944,1
6912,1
336,1
3040,1
1520,1
4832,1
2448,1
5776,1
4080,1
2368,1
8032,1
4496,1
6336,1
1456,1
5888,1
1728,1
3232,1
3168,1
7888,1
1136,1
1264,1
2528,1
5008,1
928,1
5344,1
6480,1
5888,1
6000,1
6336,1
7872,1
7280,1
7056,1
1584,1
5856,1
4752,1
2976,1
1232,1
8016,1
3952,1
160,1
2384,1
1616,1
5216,1
3856,1
8016,1
7008,1
3792,1
3600,1
4992,1
7008,1
8048,1
128,1
4208,1
4848,1
336,1
1424,1
2944,1
2800,1
1472,1
368,1
7488,1
1808,1
6272,1
6800,1
6000,1
896,1
6256,1
1840,1
592,1
2048,1
2672,1
3360,1
5104,1
7840,1
5728,1
6192,1
368,1
6512,1
4128,1
1616,1
2864,1
6000,1
16,1
368,1
128,1
7744,1
5536,1
4768,1
7856,1
5088,1
3232,1
4400,1
