in,out
7872,1
928,1
7904,1
1760,1
7312,1
4960,1
3680,1
368,1
6016,1
5136,1
4240,1
1712,1
2000,1
2560,1
4368,1
6800,1
3088,1
1472,1
304,1
7456,1
1984,1
7680,1
1856,1
4736,1
1280,1
4608,1
448,1
6304,1
7968,1
3136,1
4384,1
4768,1
3680,1
416,1
6048,1
8128,1
896,1
3904,1
3600,1
1216,1
2720,1
4112,1
3328,1
2928,1
7632,1
7488,1
3616,1
400,1
7200,1
3856,1
6032,1
4512,1
1184,1
7712,1
1712,1
6224,1
7072,1
272,1
7040,1
816,1
6528,1
2704,1
1872,1
3120,1
1552,1
6832,1
6240,1
7184,1
5552,1
64,1
5200,1
4256,1
4912,1
7328,1
1696,1
1872,1
3472,1
3600,1
1968,1
4784,1
5648,1
80,1
5680,1
2080,1
6544,1
4688,1
2672,1
736,1
5520,1
2944,1
4352,1
592,1
4224,1
1296,1
5600,1
2272,1
3872,1
4144,1
6320,1
7760,1
4096,1
2192,1
7408,1
4800,1
2976,1
6912,1
7936,1
4176,1
2400,1
976,1
6464,1
7504,1
1936,1
3616,1
4464,1
6464,1
7952,1
7376,1
5872,1
4160,1
3312,1
304,1
3280,1
2416,1
4496,1
2240,1
1232,1
4816,1
