in,out
3312,1
2992,1
2912,1
4560,1
4928,1
5920,1
5488,1
3440,1
7808,1
4080,1
5424,1
3504,1
4240,1
4576,1
3792,1
7776,1
3104,1
4688,1
4944,1
7184,1
7792,1
480,1
2960,1
3344,1
5008,1
7664,1
4448,1
6512,1
2208,1
5328,1
2816,1
4800,1
352,1
1392,1
7568,1
4624,1
3696,1
4448,1
1184,1
7536,1
2544,1
4272,1
7936,1
5584,1
5424,1
1712,1
2944,1
5184,1
6288,1
2368,1
2272,1
6304,1
2048,1
5344,1
3648,1
6416,1
1632,1
2480,1
7280,1
912,1
6512,1
7472,1
4400,1
7376,1
7456,1
4640,1
3872,1
3744,1
7216,1
4304,1
6064,1
7376,1
8080,1
3440,1
8112,1
736,1
5296,1
1056,1
4448,1
2416,1
128,1
5520,1
1072,1
752,1
2208,1
3024,1
5712,1
4848,1
4320,1
2064,1
3248,1
3808,1
2512,1
5696,1
2448,1
2688,1
800,1
2576,1
448,1
3936,1
5664,1
8112,1
1200,1
5360,1
6784,1
3104,1
5104,1
4016,1
6352,1
2640,1
2032,1
5760,1
7920,1
3168,1
432,1
32,1
2080,1
5088,1
6592,1
6272,1
1968,1
2496,1
6560,1
368,1
1088,1
7376,1
3632,1
2336,1
