in,out
5840,1
208,1
3664,1
32,1
5296,1
1248,1
2016,1
8000,1
3856,1
320,1
7168,1
16,1
8032,1
3264,1
7600,1
5776,1
3472,1
6640,1
752,1
1312,1
6656,1
4032,1
5920,1
5296,1
8144,1
2192,1
3424,1
6400,1
960,1
4864,1
3808,1
4976,1
2816,1
4848,1
3504,1
7696,1
7664,1
6352,1
7488,1
5584,1
7712,1
2784,1
3744,1
1760,1
1744,1
1408,1
5296,1
6704,1
7616,1
3424,1
3792,1
7728,1
7152,1
2688,1
1056,1
448,1
416,1
1552,1
2624,1
272,1
7360,1
5152,1
1296,1
6432,1
320,1
1184,1
992,1
912,1
976,1
5456,1
384,1
2896,1
3904,1
6384,1
4352,1
6288,1
7424,1
7104,1
1072,1
1296,1
5008,1
2048,1
6240,1
2224,1
6816,1
2864,1
1120,1
1520,1
5168,1
6624,1
176,1
2672,1
96,1
7408,1
32,1
3984,1
3184,1
6000,1
4432,1
720,1
6272,1
8048,1
5776,1
2592,1
5792,1
5920,1
5600,1
6320,1
7104,1
4336,1
7360,1
8144,1
832,1
2896,1
1328,1
2144,1
7344,1
6592,1
5984,1
5136,1
4224,1
368,1
4304,1
4560,1
3120,1
3968,1
864,1
7840,1
