in,out
3936,1
3808,1
7936,1
3296,1
2448,1
6480,1
6960,1
5072,1
5552,1
4304,1
7776,1
496,1
7632,1
560,1
4000,1
368,1
2672,1
2480,1
7200,1
400,1
3920,1
4944,1
3584,1
3568,1
4320,1
224,1
4912,1
1296,1
448,1
6000,1
1728,1
3632,1
384,1
6192,1
592,1
1584,1
7360,1
4160,1
1328,1
6016,1
3664,1
7232,1
1120,1
800,1
2144,1
800,1
2368,1
4704,1
7936,1
1408,1
6848,1
3376,1
5600,1
4624,1
6160,1
7968,1
2848,1
6656,1
1312,1
1792,1
2320,1
6176,1
1424,1
5648,1
3616,1
1056,1
4144,1
7920,1
3952,1
5040,1
6800,1
4384,1
6608,1
1952,1
2272,1
7440,1
5760,1
7200,1
1184,1
4160,1
880,1
1040,1
4432,1
496,1
4192,1
1472,1
1120,1
6256,1
4432,1
8160,1
7952,1
1888,1
3888,1
784,1
1008,1
4736,1
544,1
2928,1
752,1
5168,1
5440,1
480,1
5568,1
6528,1
1120,1
2384,1
8080,1
6048,1
3264,1
3616,1
3120,1
4640,1
2784,1
5328,1
6512,1
2160,1
3680,1
512,1
1296,1
2160,1
880,1
4688,1
2128,1
6720,1
6128,1
3024,1
7840,1
8128,1
