in,out
2352,1
2928,1
1504,1
5072,1
6672,1
176,1
4640,1
3120,1
5776,1
2208,1
6832,1
560,1
7856,1
6896,1
4800,1
128,1
6352,1
7600,1
7648,1
3648,1
1168,1
1056,1
5360,1
3648,1
3296,1
2576,1
3312,1
2176,1
4960,1
6640,1
4048,1
1392,1
288,1
5840,1
7408,1
4992,1
2256,1
7744,1
2112,1
4384,1
7248,1
192,1
4192,1
4032,1
6208,1
3888,1
2064,1
7616,1
4544,1
7504,1
6032,1
7168,1
4288,1
3984,1
5472,1
2096,1
16,1
2608,1
6800,1
800,1
5536,1
4896,1
2512,1
8160,1
2000,1
5712,1
3712,1
5776,1
7840,1
5648,1
5568,1
1072,1
2928,1
2688,1
5120,1
6096,1
2416,1
4304,1
7856,1
3056,1
736,1
7568,1
6912,1
5424,1
3680,1
8080,1
4784,1
48,1
3120,1
4512,1
3472,1
4432,1
608,1
1376,1
7536,1
7824,1
7040,1
5648,1
4768,1
8096,1
2208,1
2704,1
3264,1
5344,1
608,1
5312,1
4896,1
3152,1
512,1
1216,1
3344,1
7440,1
3216,1
2448,1
3792,1
6240,1
7344,1
1520,1
5440,1
5648,1
4464,1
4112,1
5232,1
6992,1
4240,1
2416,1
1872,1
880,1
