in,out
4320,1
5568,1
608,1
992,1
7728,1
2896,1
6976,1
4224,1
4224,1
1136,1
2768,1
3552,1
2880,1
6624,1
4816,1
5920,1
3216,1
7728,1
5584,1
880,1
2096,1
7248,1
864,1
496,1
5040,1
7680,1
3056,1
4720,1
4976,1
2992,1
6656,1
3696,1
5552,1
4992,1
3696,1
4240,1
7216,1
4064,1
3136,1
5152,1
2464,1
4016,1
6032,1
6256,1
7184,1
7296,1
1936,1
5792,1
4480,1
304,1
6144,1
6224,1
7632,1
1696,1
5312,1
7968,1
3184,1
3120,1
4624,1
5920,1
4704,1
7728,1
6800,1
4992,1
7136,1
4576,1
704,1
2288,1
8080,1
5040,1
7472,1
8160,1
336,1
5600,1
2960,1
7168,1
7072,1
1856,1
5120,1
4048,1
2608,1
784,1
3088,1
7280,1
528,1
4752,1
6400,1
3008,1
5104,1
6800,1
3040,1
5600,1
6960,1
5520,1
7936,1
752,1
1536,1
4832,1
8000,1
7312,1
6640,1
5824,1
2288,1
7616,1
7744,1
2800,1
7600,1
5456,1
7696,1
160,1
496,1
8144,1
5472,1
2144,1
7920,1
6512,1
2320,1
7456,1
2192,1
2944,1
1696,1
448,1
5536,1
5984,1
7968,1
2240,1
3040,1
2064,1
