in,out
352,1
2720,1
608,1
7456,1
6560,1
4752,1
608,1
6736,1
4208,1
7088,1
2560,1
3616,1
3872,1
5840,1
2176,1
1088,1
4400,1
4800,1
7552,1
1488,1
4368,1
4784,1
4352,1
5664,1
6848,1
4736,1
64,1
160,1
4000,1
1248,1
3504,1
1632,1
2752,1
5520,1
224,1
6704,1
1280,1
6224,1
3584,1
672,1
3584,1
3984,1
3856,1
7968,1
1056,1
528,1
6416,1
6368,1
1840,1
3472,1
6544,1
5776,1
2720,1
3024,1
416,1
6992,1
5856,1
416,1
7376,1
3968,1
7648,1
1648,1
4048,1
1216,1
368,1
6272,1
5536,1
7120,1
2784,1
304,1
2976,1
7968,1
848,1
1760,1
576,1
4992,1
8032,1
1696,1
3712,1
5552,1
464,1
2992,1
7760,1
5552,1
1232,1
896,1
3120,1
6576,1
6352,1
4128,1
1088,1
6384,1
1184,1
992,1
7984,1
7200,1
2896,1
2576,1
1376,1
6192,1
6000,1
2512,1
2640,1
672,1
6336,1
7456,1
2368,1
720,1
2368,1
6480,1
7536,1
2592,1
4080,1
7648,1
2640,1
7424,1
2640,1
5024,1
4320,1
6672,1
3008,1
6464,1
7584,1
6592,1
2752,1
2528,1
8080,1
368,1
