in,out
48,1
5872,1
1840,1
864,1
784,1
4608,1
1456,1
288,1
5088,1
7232,1
656,1
7376,1
4816,1
7120,1
512,1
1536,1
4512,1
2192,1
4400,1
7792,1
6048,1
5600,1
4192,1
7552,1
2128,1
3616,1
4000,1
1536,1
7376,1
4752,1
2656,1
1824,1
5312,1
4480,1
4784,1
2544,1
2288,1
6048,1
1280,1
2608,1
2080,1
2240,1
4288,1
6480,1
1040,1
1264,1
2768,1
6960,1
5648,1
6976,1
2112,1
5552,1
1536,1
1312,1
6816,1
3456,1
5152,1
8032,1
2016,1
2208,1
3888,1
3952,1
2128,1
1952,1
5408,1
7872,1
6640,1
6176,1
2624,1
1232,1
3792,1
912,1
4464,1
3632,1
6608,1
6624,1
4624,1
6752,1
6256,1
6112,1
1088,1
576,1
6448,1
944,1
6816,1
2464,1
4704,1
1296,1
8112,1
4800,1
4352,1
4192,1
7120,1
6400,1
7344,1
3296,1
7952,1
4192,1
480,1
6560,1
1392,1
6432,1
832,1
6096,1
688,1
1984,1
3376,1
592,1
5136,1
5520,1
528,1
2144,1
288,1
2320,1
4272,1
480,1
4304,1
5552,1
2496,1
656,1
6192,1
2192,1
6448,1
1344,1
3440,1
7648,1
2464,1
3488,1
