in,out
8064,1
7616,1
1168,1
2416,1
4720,1
7296,1
6240,1
2304,1
7168,1
160,1
6336,1
336,1
7632,1
4592,1
2848,1
3584,1
6416,1
4208,1
2816,1
1872,1
4048,1
4912,1
1072,1
5632,1
7264,1
3680,1
7520,1
3056,1
1888,1
64,1
5776,1
2960,1
2208,1
1200,1
7760,1
6544,1
288,1
1024,1
2640,1
1680,1
4224,1
4640,1
336,1
752,1
576,1
3120,1
7776,1
6736,1
7440,1
1440,1
6688,1
5216,1
7728,1
3296,1
4672,1
5568,1
176,1
7648,1
5552,1
896,1
6208,1
1504,1
4144,1
2064,1
3360,1
7632,1
3728,1
1920,1
3232,1
7600,1
192,1
2576,1
4544,1
1920,1
4352,1
7248,1
5680,1
1568,1
1312,1
1504,1
6144,1
2368,1
4080,1
7488,1
7744,1
7360,1
4112,1
1104,1
1888,1
2592,1
1264,1
2848,1
4880,1
2352,1
4944,1
1776,1
2160,1
4656,1
1440,1
7824,1
3696,1
2864,1
4224,1
352,1
7504,1
4496,1
5936,1
2192,1
1376,1
2928,1
1088,1
1280,1
6240,1
5008,1
5328,1
4672,1
6880,1
5472,1
4320,1
1824,1
1632,1
1520,1
1392,1
4288,1
5312,1
336,1
5344,1
1664,1
