in,out
1280,1
1184,1
5472,1
5264,1
5216,1
2432,1
464,1
4848,1
6688,1
7776,1
6080,1
4144,1
4144,1
5504,1
4688,1
3760,1
4336,1
6656,1
896,1
7472,1
2976,1
1152,1
7760,1
592,1
128,1
4224,1
2960,1
3184,1
1200,1
5312,1
1936,1
1136,1
2576,1
2128,1
7008,1
6928,1
6656,1
6560,1
2192,1
2160,1
7888,1
2832,1
6320,1
1808,1
3296,1
7536,1
7216,1
6800,1
416,1
6688,1
3328,1
6864,1
1312,1
7408,1
4496,1
7760,1
592,1
3360,1
8080,1
1728,1
6832,1
3856,1
5552,1
7296,1
6176,1
7536,1
6160,1
3600,1
1808,1
2464,1
6720,1
4464,1
624,1
944,1
7520,1
6320,1
8000,1
3424,1
6944,1
3888,1
1248,1
2064,1
2928,1
1744,1
2352,1
6064,1
4368,1
4288,1
1680,1
2560,1
5952,1
5904,1
1856,1
432,1
2080,1
6720,1
1216,1
112,1
1504,1
1920,1
2176,1
3728,1
304,1
3264,1
7744,1
240,1
7424,1
3088,1
3824,1
1216,1
6672,1
5888,1
4304,1
2832,1
1264,1
928,1
176,1
1920,1
3664,1
1200,1
384,1
1952,1
1600,1
720,1
1472,1
7040,1
992,1
5200,1
