in,out
6272,1
4016,1
1952,1
7200,1
8160,1
7040,1
6720,1
480,1
1616,1
4896,1
7600,1
2032,1
6592,1
6016,1
4032,1
6864,1
4544,1
944,1
3552,1
112,1
7216,1
7040,1
3760,1
2464,1
5520,1
3568,1
7584,1
496,1
1376,1
6944,1
2032,1
912,1
128,1
2400,1
592,1
2880,1
4416,1
784,1
6288,1
2368,1
4912,1
4128,1
7696,1
2880,1
7856,1
2528,1
6352,1
4784,1
1472,1
1920,1
208,1
416,1
4448,1
7520,1
2176,1
464,1
2464,1
7488,1
816,1
4960,1
192,1
4368,1
7280,1
2608,1
6368,1
5824,1
6528,1
3856,1
3728,1
7376,1
2256,1
5984,1
7776,1
1408,1
2096,1
3184,1
2192,1
6784,1
2640,1
7952,1
3488,1
5648,1
5872,1
624,1
3504,1
7472,1
6448,1
416,1
2752,1
1392,1
7856,1
6464,1
4208,1
4912,1
4048,1
6944,1
5776,1
6176,1
688,1
6928,1
4096,1
6192,1
7712,1
6160,1
2928,1
5184,1
1984,1
1600,1
2960,1
7184,1
2560,1
1040,1
1712,1
6496,1
3152,1
3904,1
4832,1
176,1
4144,1
176,1
592,1
1456,1
4160,1
5136,1
1440,1
6752,1
960,1
1344,1
