in,out
288,1
6832,1
7712,1
1888,1
1040,1
7872,1
6528,1
4064,1
6656,1
480,1
544,1
1856,1
7360,1
112,1
2864,1
1792,1
4144,1
4320,1
1408,1
912,1
256,1
1408,1
2640,1
6624,1
2560,1
5296,1
3712,1
1904,1
1408,1
2576,1
4928,1
3648,1
4544,1
5552,1
3664,1
5008,1
2928,1
544,1
5360,1
3168,1
7520,1
7648,1
5664,1
1696,1
1936,1
5424,1
128,1
4144,1
2016,1
5536,1
1952,1
4832,1
5424,1
1872,1
6848,1
6928,1
2528,1
3264,1
3408,1
5920,1
1264,1
2160,1
8128,1
2032,1
608,1
6848,1
5728,1
3392,1
4272,1
1024,1
4384,1
7824,1
7104,1
4656,1
1904,1
848,1
752,1
4800,1
7088,1
3248,1
4496,1
1680,1
3904,1
8032,1
3248,1
4752,1
4368,1
4800,1
1712,1
5376,1
4896,1
3280,1
6432,1
1168,1
4128,1
2944,1
7648,1
2144,1
4688,1
6784,1
4656,1
1584,1
3360,1
5792,1
592,1
2752,1
4160,1
6512,1
64,1
5808,1
3824,1
3888,1
7360,1
7264,1
4672,1
5536,1
4576,1
2320,1
2160,1
288,1
3632,1
3520,1
7680,1
6064,1
6784,1
3024,1
784,1
6096,1
