in,out
6384,1
4336,1
672,1
2624,1
7008,1
7584,1
5648,1
1376,1
6400,1
1104,1
4624,1
2112,1
2400,1
5040,1
912,1
3328,1
720,1
2208,1
112,1
2112,1
2112,1
3488,1
3520,1
3664,1
4064,1
6144,1
2016,1
6048,1
7936,1
3744,1
1072,1
3312,1
3472,1
5920,1
768,1
6896,1
4240,1
7232,1
5776,1
3872,1
768,1
5792,1
6704,1
7488,1
192,1
2224,1
3664,1
2384,1
2544,1
6688,1
4784,1
1712,1
2480,1
6000,1
640,1
4512,1
2784,1
2336,1
4496,1
6544,1
3232,1
4016,1
160,1
7520,1
1248,1
2352,1
1696,1
2768,1
4928,1
5680,1
5152,1
7792,1
6624,1
4416,1
7152,1
6336,1
1936,1
5808,1
5776,1
6512,1
6272,1
4096,1
464,1
6336,1
5280,1
32,1
864,1
6592,1
3040,1
3216,1
5152,1
7504,1
7744,1
320,1
1632,1
7952,1
8160,1
2032,1
3456,1
3216,1
3856,1
4576,1
7808,1
928,1
5600,1
4384,1
6080,1
5040,1
2864,1
2336,1
4592,1
192,1
7568,1
752,1
8160,1
5984,1
5760,1
7136,1
2672,1
6400,1
4400,1
2112,1
4400,1
1120,1
6960,1
1728,1
6496,1
6768,1
