in,out
2784,1
7072,1
960,1
7216,1
6912,1
7296,1
1056,1
5760,1
2368,1
1552,1
2624,1
6240,1
3760,1
6272,1
2800,1
7392,1
1184,1
7856,1
6720,1
416,1
6848,1
4320,1
2768,1
6944,1
3920,1
4800,1
7184,1
1472,1
4480,1
1344,1
2944,1
5792,1
2112,1
672,1
1472,1
2752,1
3728,1
8000,1
1040,1
6800,1
2000,1
6912,1
6864,1
608,1
80,1
544,1
4896,1
688,1
4048,1
5024,1
4080,1
2864,1
8064,1
5216,1
2432,1
7648,1
816,1
1200,1
7664,1
4560,1
1520,1
4448,1
3744,1
6112,1
848,1
3488,1
1952,1
5296,1
6640,1
3808,1
4576,1
2880,1
2048,1
2432,1
368,1
2192,1
96,1
2224,1
7168,1
1824,1
1936,1
592,1
7536,1
704,1
6944,1
6912,1
5232,1
2304,1
6400,1
4784,1
176,1
1632,1
96,1
6000,1
3904,1
3600,1
3728,1
5728,1
4304,1
6128,1
7088,1
5840,1
7888,1
6192,1
720,1
1632,1
1376,1
5184,1
6640,1
7216,1
1312,1
288,1
5360,1
2512,1
3792,1
2192,1
8016,1
2224,1
7696,1
6512,1
1360,1
5296,1
400,1
1504,1
5408,1
1728,1
7008,1
5088,1
